correctedSentence,elongated,sentenceLength,sentenceWordLength,spellDelta,charNGrams,wordNGrams,hashtag,url,#,@,E,",",~,U,A,D,!,N,P,O,R,&,L,Z,^,V,$,G,T,X,S,Y,M,langFam,lang,user
sunrise amp clouds villedesete pixel 3a inst morgan_pch,0,8,6.0,0.875,"[(('s', 'u', 'n'), 1), (('u', 'n', 'r'), 1), (('n', 'r', 'i'), 1), (('r', 'i', 's'), 1), (('i', 's', 'e'), 1)]","[(('sunrise', 'amp'), 1), (('amp', 'clouds'), 1), (('clouds', 'villedesete'), 1), (('villedesete', 'pixel'), 1), (('pixel', '3a'), 1)]","['jeudiphoto', 'teampixel']",['https://t.co/LjaGpfJfaJ'],2,0,0,0,0,1,0,0,0,62.5,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,Romance,French, 
be kip focus on providing a unique luxurious driving experience anywhere in dubai we are experts in the world of luxury car rental call 971522447777,1,25,4.96,0.5,"[(('u', 's', ' '), 2), (('i', 'n', 'g'), 2), (('n', 'g', ' '), 2), ((' ', 'l', 'u'), 2), (('l', 'u', 'x'), 2)]","[(('be', 'vip'), 1), (('vip', 'focus'), 1), (('focus', 'on'), 1), (('on', 'providing'), 1), (('providing', 'a'), 1)]","['___', 'KhalilUrRahmanQamar', 'RIPTwitter', 'Coronvirus', 'T20WorldCup', 'WorldBookDay', 'jeudiphoto']",['https://t.co/47GLcgxYD8'],7,0,0,0,0,1,8.0,8.0,0,32.0,16.0,4.0,4.0,0,0,0,4.0,20.0,4.0,0,0,0,0,0,0,Romance,French, 
rip twitter katy berry card b daddy mommy 18 porn sugar sex money,0,13,4.076923076923077,2.625,"[((' ', 'm', 'o'), 2), (('r', 'i', 'p'), 1), (('i', 'p', ' '), 1), (('p', ' ', 't'), 1), ((' ', 't', 'w'), 1)]","[(('riptwitter', 'katy'), 1), (('katy', 'perry'), 1), (('perry', 'cardi'), 1), (('cardi', 'b'), 1), (('b', 'daddy'), 1)]","['RIPTwitter', 'Coronvirus', 'Covid_19', 'coronavirus', 'jeudiphoto', 'EURO2020', 'COVID19', 'EnglishVocabularySizeTest', 'NCT127_KickIt', 'Hidalgo', 'LPPR', 'EnglishVocabularySizeTest', 'CoronaAlert', 'Hanau', 'Flybecollapse']",['https://t.co/XzcNlcvksB'],15,0,0,0,0,1,0,0,0,61.53846153846154,0,0,0,0,0,0,23.076923076923077,7.6923076923076925,7.6923076923076925,0,0,0,0,0,0,Romance,French, 
golden lady canonfrance maris,0,4,6.5,1.0,"[(('g', 'o', 'l'), 1), (('o', 'l', 'd'), 1), (('l', 'd', 'e'), 1), (('d', 'e', 'n'), 1), (('e', 'n', ' '), 1)]","[(('golden', 'lady'), 1), (('lady', 'canonfrance'), 1), (('canonfrance', 'paris'), 1)]","['jeudiphoto', 'Paris']",['https://t.co/OCMcAuBBnO'],2,0,0,0,0,1,25.0,0,0,50.0,0,0,0,0,0,0,25.0,0,0,0,0,0,0,0,0,Romance,French, 
recette via saveurhealthy porridge aux carottes,0,6,7.0,0.8333333333333334,"[(('t', 't', 'e'), 2), (('r', 'e', 'c'), 1), (('e', 'c', 'e'), 1), (('c', 'e', 't'), 1), (('e', 't', 't'), 1)]","[(('recette', 'via'), 1), (('via', 'saveurhealthy'), 1), (('saveurhealthy', 'porridge'), 1), (('porridge', 'aux'), 1), (('aux', 'carottes'), 1)]","['Recette', 'porridge', 'carotte', 'food', 'yummy', 'bon', 'plat', 'faitmaison', 'jeudiphoto']","['https://t.co/xAThJ0g6Qn', 'https://t.co/kuPzhoBkPl']",9,0,0,0,0,2,0,0,0,49.99999999999999,16.666666666666664,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,0,Romance,French, 
thomas barbed,0,2,6.0,0.75,"[(('t', 'h', 'o'), 1), (('h', 'o', 'm'), 1), (('o', 'm', 'a'), 1), (('m', 'a', 's'), 1), (('a', 's', ' '), 1)]","[(('thomas', 'barbey'), 1)]",['jeudiphoto'],['https://t.co/3jLbbP1UaJ'],1,0,0,0,0,1,50.0,0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,Romance,French, 
who is the man that would risk his neck for his brother man,0,13,3.6153846153846154,0.19230769230769232,"[(('i', 's', ' '), 3), ((' ', 't', 'h'), 2), (('t', 'h', 'e'), 2), ((' ', 'm', 'a'), 2), (('m', 'a', 'n'), 2)]","[(('who', 'is'), 1), (('is', 'the'), 1), (('the', 'man'), 1), (('man', 'that'), 1), (('that', 'would'), 1)]","['cinema', 'jeudiphoto', 'Hollywood', 'soul']",[],4,0,0,0,0,0,0,23.076923076923077,0,30.76923076923077,15.384615384615385,7.6923076923076925,0,0,0,0,0,23.076923076923077,0,0,0,0,0,0,0,Romance,French, 
the weather is miserable the world is a tough place but i just received some lovely flowers so la vie est belle,1,22,4.090909090909091,0.22727272727272727,"[(('t', 'h', 'e'), 3), (('h', 'e', ' '), 2), (('e', ' ', 'w'), 2), ((' ', 'i', 's'), 2), (('i', 's', ' '), 2)]","[(('the', 'weather'), 1), (('weather', 'is'), 1), (('is', 'miserable'), 1), (('miserable', 'the'), 1), (('the', 'world'), 1)]","['flowerpower', 'ThankYou', 'jeudiphoto']",['https://t.co/hfWSdl5YuB'],3,0,0,0,0,1,13.636363636363637,18.181818181818183,0,18.181818181818183,4.545454545454546,4.545454545454546,4.545454545454546,4.545454545454546,0,0,18.181818181818183,13.636363636363637,0,0,0,0,0,0,0,Romance,French, 
the best place publique,0,4,5.0,0.375,"[(('t', 'h', 'e'), 1), (('h', 'e', ' '), 1), (('e', ' ', 'b'), 1), ((' ', 'b', 'e'), 1), (('b', 'e', 's'), 1)]","[(('the', 'best'), 1), (('best', 'place'), 1), (('place', 'publique'), 1)]","['Municipales2020', 'Coronvirus', 'RIPTwitter', 'coronavirus', 'CoronaAlert', 'Hanau', 'jeudiphoto', 'CamilleOffreMoiLesCharrues', 'COVID19', 'COVID19', 'JourDuDereglement', 'festabbb', 'NeverWornWhite', 'Strasbourg', 'cokseksikadinlar', 'pentil']",['https://t.co/rmJyM2HiCA'],16,0,0,0,0,1,25.0,25.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Romance,French, 
sunset in do you see the mont blanch from afar big living town and the mountains are not far away too so lucky to capture such a scene,0,28,3.8214285714285716,0.1607142857142857,"[((' ', 't', 'o'), 3), ((' ', 't', 'h'), 2), (('t', 'h', 'e'), 2), (('h', 'e', ' '), 2), (('e', ' ', 'm'), 2)]","[(('sunset', 'in'), 1), (('in', 'do'), 1), (('do', 'you'), 1), (('you', 'see'), 1), (('see', 'the'), 1)]","['Lyon', 'JeudiPhoto', 'OnlyLyon', 'RhoneAlpes', 'AuvergneRhoneAlpes', 'ChamonixMontBlanc', 'photographie', 'coucherdesoleil', 'LUMIX', 'FullFrame']",['https://t.co/X0Tta7FJFU'],10,0,0,0,0,1,10.714285714285714,10.714285714285714,0,14.285714285714285,10.714285714285714,3.571428571428571,21.428571428571423,3.571428571428571,0,0,7.142857142857142,17.857142857142854,0,0,0,0,0,0,0,Romance,French, 
check it out,0,3,3.3333333333333335,0.3333333333333333,"[(('c', 'h', 'e'), 1), (('h', 'e', 'c'), 1), (('e', 'c', 'k'), 1), (('c', 'k', ' '), 1), (('k', ' ', 'i'), 1)]","[(('check', 'it'), 1), (('it', 'out'), 1)]","['RIPTwitter', 'Coronvirus', 'FromageDansUntitre', 'jeudiphoto', 'AyaNakamura', 'RosaParks', 'KatyPerry', 'ChromaticaBall', 'GreedIsland', 'TomorrowlandWinter']",['https://t.co/2kziDaKsbG'],10,0,0,0,0,1,0,0,0,0,0,33.33333333333333,0,0,0,0,0,33.33333333333333,0,0,33.33333333333333,0,0,0,0,Romance,French, 
grand canyon arizona jeudiphoto,1,4,7.0,0.875,"[(('g', 'r', 'a'), 1), (('r', 'a', 'n'), 1), (('a', 'n', 'd'), 1), (('n', 'd', ' '), 1), (('d', ' ', 'c'), 1)]","[(('grand', 'canyon'), 1), (('canyon', 'arizona'), 1), (('arizona', 'jeudiphoto'), 1)]","['jeudiphoto', 'NaturePhotography', 'naturelover', 'grandcanyon']",['https://t.co/C0I0dk9qmG'],4,0,0,0,0,1,25.0,0,0,25.0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,Romance,French, 
yo mp3 lease 20 exclusive 100 1 buy 1 beat free this beat is available on you tube,1,18,3.611111111111111,0.5294117647058824,"[((' ', '1', ' '), 2), (('1', ' ', 'b'), 2), ((' ', 'b', 'e'), 2), (('b', 'e', 'a'), 2), (('e', 'a', 't'), 2)]","[(('yo', 'mp3'), 1), (('mp3', 'lease'), 1), (('lease', '20'), 1), (('20', 'exclusive'), 1), (('exclusive', '100'), 1)]","['jeudiphoto', 'LoveIsBlind', 'NeverWornWhite', 'rapper', 'hiphop', 'hiphopbeats', 'rapbeats', 'rapbeat', 'instrumental', 'InstrumentalMusic', 'instrumentals', 'music', 'Beats']","['https://t.co/zQ8FAqyKnq', 'https://t.co/UFIYMNDwJc']",13,0,0,0,0,2,16.666666666666664,5.555555555555555,5.555555555555555,16.666666666666664,5.555555555555555,5.555555555555555,0,0,0,0,0,22.22222222222222,22.22222222222222,0,0,0,0,0,0,Romance,French, 
punk s not dead sarcelle d diver eurasian teal cooplodp rspb _bto ornithomedia festivaloiseau leicabirding birdcenter_ birdwatchextra audubonsociety,0,18,7.277777777777778,1.5555555555555554,"[(('b', 'i', 'r'), 3), (('i', 'r', 'd'), 3), ((' ', 'b', 'i'), 2), (('p', 'u', 'n'), 1), (('u', 'n', 'k'), 1)]","[(('punk', 's'), 1), (('s', 'not'), 1), (('not', 'dead'), 1), (('dead', 'sarcelle'), 1), (('sarcelle', 'd'), 1)]","['sarcellekepon', 'TwitterNatureCommunity', 'jeudiphoto', 'birdwatching', 'birds', 'oiseaux']",['https://t.co/idOgORvsQ1'],6,0,0,0,0,1,5.555555555555555,0,0,5.555555555555555,0,0,5.555555555555555,0,0,0,55.555555555555564,11.11111111111111,0,16.666666666666664,0,0,0,0,0,Romance,French, 
antibes,0,1,7.0,1.0,"[(('a', 'n', 't'), 1), (('n', 't', 'i'), 1), (('t', 'i', 'b'), 1), (('i', 'b', 'e'), 1), (('b', 'e', 's'), 1)]",[],"['jeudiphoto', 'antibes', 'alpes', 'neige', 'snow', 'CotedAzur', 'sailboat', 'pogoria']",['https://t.co/jZIzqh2aSB'],8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,Romance,French, 
drbiden you were great by the way did you also earn an in at university,0,15,3.8,0.26666666666666666,"[((' ', 'y', 'o'), 2), (('y', 'o', 'u'), 2), (('o', 'u', ' '), 2), (('a', 't', ' '), 2), (('n', ' ', 'a'), 2)]","[(('drbiden', 'you'), 1), (('you', 'were'), 1), (('were', 'great'), 1), (('great', 'by'), 1), (('by', 'the'), 1)]","['DrJillBiden', 'PhD', 'martialarts', 'jeudiphoto']",[],4,0,0,0,0,0,6.666666666666667,13.333333333333334,0,20.0,13.333333333333334,13.333333333333334,6.666666666666667,0,0,0,0,26.666666666666668,0,0,0,0,0,0,0,Romance,French, 
have you ever heard of hum island in the antarctic antartica camguthrie riviera radio,0,14,5.142857142857143,0.576923076923077,"[((' ', 'a', 'n'), 2), (('a', 'n', 't'), 2), (('n', 't', 'a'), 2), (('t', 'a', 'r'), 2), (('t', 'i', 'c'), 2)]","[(('have', 'you'), 1), (('you', 'ever'), 1), (('ever', 'heard'), 1), (('heard', 'of'), 1), (('of', 'hum'), 1)]","['DavidAttenborough', 'jeudiphoto', 'MartinHumPhDDHD', 'Toronto']",['https://t.co/ZORASQYIJX'],4,0,0,0,0,1,0,14.285714285714285,0,21.428571428571427,14.285714285714285,7.142857142857142,7.142857142857142,0,0,0,21.428571428571427,14.285714285714285,0,0,0,0,0,0,0,Romance,French, 
i want to walk into a room be it a hospital for the dying or a hospital for the sick children and feel that i am needed i want to do not just to be princess diana tpgallery thephotohour lens culture,0,41,3.8536585365853657,0.4,"[(('t', 'o', ' '), 4), ((' ', 't', 'h'), 4), ((' ', 'w', 'a'), 3), (('t', ' ', 't'), 3), ((' ', 't', 'o'), 3)]","[(('i', 'want'), 2), (('want', 'to'), 2), (('a', 'hospital'), 2), (('hospital', 'for'), 2), (('for', 'the'), 2)]","['PapuaNewGuinea', 'Bougainville', 'photography', 'vss365', 'fujifilm', 'jeudiphoto']",['https://t.co/NkMuqv6tvu'],6,0,0,0,0,1,4.878048780487805,12.195121951219512,0,14.634146341463415,14.634146341463415,12.195121951219512,4.878048780487805,4.878048780487805,0,0,9.75609756097561,21.95121951219512,0,0,0,0,0,0,0,Romance,French, 
trending topics fr 07 14 gt 1 gt 4,0,9,2.888888888888889,0.3888888888888889,"[((' ', 'g', 't'), 2), (('g', 't', ' '), 2), (('t', 'r', 'e'), 1), (('r', 'e', 'n'), 1), (('e', 'n', 'd'), 1)]","[(('trending', 'topics'), 1), (('topics', 'fr'), 1), (('fr', '07'), 1), (('07', '14'), 1), (('14', 'gt'), 1)]","['jeudiphoto', 'BrunoAuSki']",['https://t.co/h2jFuG7Oeh'],2,0,0,0,0,1,0,0,0,33.33333333333333,22.22222222222222,0,0,0,0,0,0,11.11111111111111,33.33333333333333,0,0,0,0,0,0,Romance,French, 
if you need to put a lock onto your love maybe it s not gt,0,15,2.933333333333333,0.15625,"[((' ', 'y', 'o'), 2), (('y', 'o', 'u'), 2), (('t', 'o', ' '), 2), ((' ', 'l', 'o'), 2), (('i', 'f', ' '), 1)]","[(('if', 'you'), 1), (('you', 'need'), 1), (('need', 'to'), 1), (('to', 'put'), 1), (('put', 'a'), 1)]","['love', 'photooftheday', 'photography', 'paris', 'jeudiphoto']","['https://t.co/HcAw8tTWSg', 'https://t.co/l2V0JJvTkN']",5,0,0,0,0,2,0,13.333333333333334,0,13.333333333333334,20.0,13.333333333333334,13.333333333333334,0,0,0,0,26.666666666666668,0,0,0,0,0,0,0,Romance,French, 
the people who follow me on are getting most of the fun but here are 2 photos i just took in want more go to and,0,26,3.3461538461538463,0.23076923076923078,"[(('r', 'e', ' '), 4), (('t', 'h', 'e'), 2), (('h', 'e', ' '), 2), ((' ', 'a', 'r'), 2), (('a', 'r', 'e'), 2)]","[(('the', 'people'), 1), (('people', 'who'), 1), (('who', 'follow'), 1), (('follow', 'me'), 1), (('me', 'on'), 1)]","['Instagram', 'Paris', 'France', 'follow', 'streetphotography', 'jeudiphoto', 'photographie', 'BonDimanche']","['https://t.co/HcAw8tTWSg', 'https://t.co/fQelRK6ft9']",8,0,0,0,0,2,0,7.6923076923076925,0,11.538461538461538,15.384615384615385,11.538461538461538,15.384615384615385,7.6923076923076925,0,0,0,26.923076923076923,3.8461538461538463,0,0,0,0,0,0,Romance,French, 
lying low stacking up,0,4,4.5,0.375,"[(('i', 'n', 'g'), 2), (('n', 'g', ' '), 2), (('l', 'y', 'i'), 1), (('y', 'i', 'n'), 1), (('g', ' ', 'l'), 1)]","[(('laying', 'low'), 1), (('low', 'stackin'), 1), (('stackin', 'up'), 1)]","['jeudiphoto', 'melanin', 'marie', 'nike', 'ivorian', 'camo', 'ContentCreator', 'youtuber', 'vlogger', 'pose', 'photography', 'photographer', 'twitter', 'like', 'follow', 'influencer', 'Motivation', 'ThursdayMotivation', 'thursdayvibes', 'ootd', 'wce']",['https://t.co/vFGJUwmW5d'],21,0,0,0,0,1,25.0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,25.0,0,0,0,0,Romance,French, 
join the click funnels and let them buy your dream car for you,0,13,3.8461538461538463,2.0,"[((' ', 't', 'h'), 2), (('t', 'h', 'e'), 2), ((' ', 'y', 'o'), 2), (('y', 'o', 'u'), 2), (('j', 'o', 'i'), 1)]","[(('join', 'the'), 1), (('the', 'clickfunnels'), 1), (('clickfunnels', 'and'), 1), (('and', 'let'), 1), (('let', 'thembuy'), 1)]","['Coronvirus', '49al3', 'TopChef', '5MARS', 'JUNxFLA', 'Chromatica', 'Chromatica', 'NCT127_KickIt', 'OlivierCarbone', 'jeudiphoto', '5marzo', '2wish', 'BBBB20', 'BestFanArmy', 'Coronavid19']","['https://t.co/0P39pF6XwY', 'https://t.co/EAZmlE7QPu', 'https://t.co/9gJmKyNTuJ']",15,0,0,0,0,3,0,15.384615384615385,0,30.76923076923077,7.6923076923076925,15.384615384615385,0,7.6923076923076925,0,0,0,23.076923076923077,0,0,0,0,0,0,0,Romance,French, 
amazing downloaded for facebook tiktok instagram videos,0,7,7.0,0.4285714285714286,"[(('o', 'k', ' '), 2), (('a', 'm', 'a'), 1), (('m', 'a', 'z'), 1), (('a', 'z', 'i'), 1), (('z', 'i', 'n'), 1)]","[(('amazing', 'downloader'), 1), (('downloader', 'for'), 1), (('for', 'facebook'), 1), (('facebook', 'tiktok'), 1), (('tiktok', 'instagram'), 1)]","['WorldBookDay', 'ON5thWin', 'T20WorldCup', 'AUSvSA', 'ToiletPaperEmergency', 'MakeTrumpNervousIn4Words', 'festabbb', 'RIPTwitter', 'Coronvirus', 'jeudiphoto']","['https://t.co/vHepUbuUWH', 'https://t.co/Lj197TlWeY']",10,0,0,0,0,2,14.285714285714285,0,0,14.285714285714285,14.285714285714285,0,0,0,0,0,42.857142857142854,14.285714285714285,0,0,0,0,0,0,0,Romance,French, 
en lives la blantrouille eur evil within lien au stream,1,10,4.6,0.75,"[(('e', 'n', ' '), 2), (('n', ' ', 'l'), 2), ((' ', 'l', 'i'), 2), (('l', 'i', 'v'), 1), (('i', 'v', 'e'), 1)]","[(('en', 'live'), 1), (('live', 'la'), 1), (('la', 'blantrouille'), 1), (('blantrouille', 'sur'), 1), (('sur', 'evil'), 1)]","['live', 'LIVE', 'streaming', 'stream', 'twitch', 'streamer', 'twitchtv', 'twitchstream', 'twitchlive', 'streamduo', 'theevilwithin', 'aventure', 'twitchstreamer', 'DIRECT', 'horror', 'horreur', 'jeudiphoto']","['https://t.co/d3drOvlFEv', 'https://t.co/tTF7JWe6nR']",17,0,0,0,0,2,10.0,0,0,20.0,10.0,0,10.0,0,0,0,20.0,10.0,0,20.0,0,0,0,0,0,Romance,French, 
amazing downloaded for facebook tiktok instagram videos,0,7,7.0,0.4285714285714286,"[(('o', 'k', ' '), 2), (('a', 'm', 'a'), 1), (('m', 'a', 'z'), 1), (('a', 'z', 'i'), 1), (('z', 'i', 'n'), 1)]","[(('amazing', 'downloader'), 1), (('downloader', 'for'), 1), (('for', 'facebook'), 1), (('facebook', 'tiktok'), 1), (('tiktok', 'instagram'), 1)]","['WorldBookDay', 'ON5thWin', 'T20WorldCup', 'AUSvSA', 'ToiletPaperEmergency', 'MakeTrumpNervousIn4Words', 'festabbb', 'RIPTwitter', 'Coronvirus', 'jeudiphoto']",['https://t.co/vHepUbuUWH'],10,0,0,0,0,1,14.285714285714285,0,0,14.285714285714285,14.285714285714285,0,0,0,0,0,42.857142857142854,14.285714285714285,0,0,0,0,0,0,0,Romance,French, 
join the click funnels and let them buy your dream car for you,0,13,3.8461538461538463,2.0,"[((' ', 't', 'h'), 2), (('t', 'h', 'e'), 2), ((' ', 'y', 'o'), 2), (('y', 'o', 'u'), 2), (('j', 'o', 'i'), 1)]","[(('join', 'the'), 1), (('the', 'clickfunnels'), 1), (('clickfunnels', 'and'), 1), (('and', 'let'), 1), (('let', 'thembuy'), 1)]","['Coronvirus', '49al3', 'TopChef', '5MARS', 'JUNxFLA', 'Chromatica', 'Chromatica', 'NCT127_KickIt', 'OlivierCarbone', 'jeudiphoto', '5marzo', '2wish', 'BBBB20', 'BestFanArmy', 'Coronavid19']","['https://t.co/0P39pF6XwY', 'https://t.co/EAZmlE7QPu']",15,0,0,0,0,2,0,15.384615384615385,0,30.76923076923077,7.6923076923076925,15.384615384615385,0,7.6923076923076925,0,0,0,23.076923076923077,0,0,0,0,0,0,0,Romance,French, 
